ИД,ЗАЯВКА_ИД,Статус_выполнения
0,1,0
1,3,1
2,4,0
3,7,0
4,8,0
5,9,0
6,10,1
7,11,0
8,12,0
9,13,0
10,17,0
11,18,0
12,19,0
13,24,0
14,25,1
15,26,0
16,31,1
17,33,0
18,34,1
19,41,0
20,43,0
21,44,0
22,45,1
23,47,1
24,48,1
25,53,1
26,56,1
27,57,1
28,58,0
29,59,1
30,61,0
31,63,1
32,71,1
33,73,1
34,75,0
35,76,0
36,77,0
37,79,1
38,81,1
39,82,0
40,86,0
41,88,0
42,91,0
43,92,1
44,94,0
45,95,0
46,97,0
47,100,1
48,101,0
49,104,0
50,106,1
51,111,1
52,112,0
53,113,1
54,114,1
55,115,0
56,119,0
57,123,1
58,125,1
59,131,1
60,136,1
61,137,0
62,139,0
63,142,1
64,143,1
65,145,0
66,150,1
67,151,1
68,152,1
69,154,1
70,156,1
71,158,0
72,160,1
73,161,1
74,162,1
75,163,0
76,165,1
77,166,1
78,168,1
79,170,1
80,173,0
81,175,0
82,178,0
83,185,1
84,190,0
85,195,0
86,199,0
87,200,1
88,201,1
89,203,0
90,205,1
91,206,0
92,208,0
93,209,0
94,211,0
95,212,0
96,213,1
97,220,0
98,221,0
99,223,1
100,224,1
101,226,1
102,227,0
103,231,0
104,232,0
105,236,1
106,237,1
107,239,0
108,241,0
109,243,1
110,244,0
111,247,1
112,251,0
113,252,0
114,253,0
115,259,0
116,260,1
117,268,1
118,270,1
119,274,1
120,275,0
121,276,1
122,277,0
123,278,1
124,279,0
125,280,1
126,284,1
127,285,1
128,287,0
129,288,0
130,289,1
131,290,0
132,291,1
133,293,0
134,294,0
135,299,1
136,301,1
137,302,0
138,303,1
139,304,0
140,305,0
141,306,1
142,307,1
143,309,0
144,312,0
145,315,0
146,316,1
147,318,1
148,319,1
149,320,0
150,321,0
151,323,1
152,325,0
153,333,1
154,335,1
155,337,0
156,339,0
157,341,1
158,342,0
159,351,0
160,352,0
161,354,1
162,355,0
163,356,1
164,359,0
165,360,1
166,364,0
167,366,1
168,369,1
169,371,1
170,375,1
171,379,0
172,386,1
173,387,0
174,391,0
175,393,0
176,396,1
177,398,1
178,402,0
179,404,1
180,405,1
181,406,1
182,408,1
183,412,1
184,413,0
185,415,0
186,420,1
187,421,1
188,422,0
189,427,0
190,431,1
191,432,0
192,435,0
193,436,0
194,438,0
195,439,0
196,440,0
197,441,1
198,445,1
199,448,1
200,449,0
201,451,0
202,453,1
203,454,0
204,456,1
205,457,1
206,459,0
207,461,1
208,464,1
209,465,1
210,467,1
211,468,1
212,469,1
213,470,0
214,471,0
215,472,1
216,475,0
217,476,1
218,480,1
219,481,1
220,482,0
221,485,1
222,486,1
223,488,0
224,489,1
225,491,0
226,492,1
227,493,1
228,495,1
229,496,1
230,499,0
