ИД,Страна,Город,Широта,Долгота
0,RU,Moscow, 55.62047, 37.49338
1,RU,Moscow, 55.39485, 43.83992
2,IN,Kolkata, 31.28092, 74.85849
3,BR,Maceio, -10.91722, -37.65
4,US,Los_Angeles, 44.99012, -123.02621
5,DK,Copenhagen, 55.67938, 12.53463
6,GB,London, 52.66277, -2.01111
7,DE,Berlin, 51.19139, 6.51352
8,AU,Melbourne, -37.9, 145.18333
9,DE,Berlin, 48.06919, 11.37703
10,FR,Paris, 43.67681, 4.63031
11,IT,Rome, 45.44694, 8.62118
12,KG,Bishkek, 40.93333, 73
13,RU,Irkutsk, 51.82721, 107.60627
14,LY,Tripoli, 30.75545, 20.22625
15,US,Los_Angeles, 47.64995, -117.23991
16,IN,Kolkata, 22.4711, 88.1453
17,AU,Melbourne, -37.88333, 145.06667
18,JP,Tokyo, 35.30889, 139.55028
19,BG,Sofia, 41.57439, 24.71204
20,CN,Shanghai, 41.09822, 120.74792
21,US,Los_Angeles, 40.58654, -122.39168
22,RU,Novokuznetsk, 55.8736, 85.4265
23,US,Chicago, 34.77453, -96.67834
24,IT,Rome, 37.51803, 15.00913
25,DE,Berlin, 48.46458, 9.22796
26,JP,Tokyo, 35.82756, 137.95378
27,GB,London, 55.82885, -4.21376
28,SV,El_Salvador, 13.70167, -89.10944
29,BG,Sofia, 43.4125, 23.225
30,BR,Bahia, -10.95817, -38.79084
31,PT,Lisbon, 38.72706, -9.24671
32,ID,Jakarta, -1.6, 103.61667
33,JP,Tokyo, 37.56667, 140.11667
34,US,New_York, 39.71734, -74.96933
35,HN,Tegucigalpa, 15.48131, -86.57415
36,IN,Kolkata, 30.81383, 75.16878
37,RU,Moscow, 53.95278, 32.86389
38,US,Chicago, 41.80753, -87.65644
39,VE,Caracas, 9.91861, -68.30472
40,IT,Rome, 42.67164, 14.01481
41,NL,Amsterdam, 53.16167, 6.76111
42,AU,Perth, -32.05251, 115.88782
43,US,New_York, 40.2737, -76.88442
44,BR,Sao_Paulo, -19.7625, -44.31389
45,ES,Madrid, 38.47917, -1.325
46,FR,Paris, 45.51667, 4.86667
47,DE,Berlin, 52.2, 8.63333
48,TW,Taipei, 23.5654, 119.58627
49,FR,Paris, 43.32393, 5.4584
50,SO,Mogadishu, 9.89206, 43.38531
51,DK,Copenhagen, 55.67938, 12.53463
52,US,Los_Angeles, 33.76446, -117.79394
53,IN,Kolkata, 29.22254, 79.5286
54,IT,Rome, 38.07789, 13.44275
55,FI,Helsinki, 65.84811, 24.14662
56,ZA,Johannesburg, -26.93366, 29.24152
57,US,Los_Angeles, 47.4943, -122.24092
58,RU,Moscow, 54.39304, 53.26023
59,TN,Tunis, 37.16911, 10.03478
60,CN,Urumqi, 46.51872, 86.00214
61,CF,Bangui, 4.94273, 15.87735
62,RU,Krasnoyarsk, 58.23583, 92.48278
63,CA,Toronto, 42.8334, -80.38297
64,IN,Kolkata, 23.18, 88.58
65,UA,Kiev, 51.67822, 33.9162
66,NZ,Auckland, -38.65333, 178.00417
67,BR,Sao_Paulo, -20.25333, -43.80139
68,BR,Sao_Paulo, -21.205, -41.88778
69,BE,Brussels, 50.8, 3.16667
70,CA,Halifax, 46.23899, -63.13414
71,US,New_York, 39.43534, -84.20299
72,CL,Santiago, -33.59217, -70.6996
73,IN,Kolkata, 11.93381, 79.82979
74,TH,Bangkok, 16.0567, 103.65309
