ЧЛВК_ИД,Тип_воина,Предводитель_ИД,Здоровье,Броня,Оружие
0,MedusaQueen,-1,78,22,83
34,Sprite,-1,3,42,29
86,HornedDemon,-1,4,22,10
89,Firebird,-1,58,35,43
121,HarpyHag,-1,23,47,57
131,Familiar,-1,13,33,69
166,Harpy,-1,70,88,82
167,Goblin,-1,8,19,44
174,Goblin,-1,48,65,6
199,ChaosHydra,-1,8,21,16
239,SerpentFly,-1,47,53,64
260,CyclopsKing,-1,61,31,86
279,BlackKnight,-1,94,68,76
288,Zombie,-1,93,100,6
297,FaerieDragon,-1,54,50,44
362,Behemoth,-1,100,72,36
369,Pixie,-1,59,9,68
418,IceElemental,-1,27,31,36
452,EnergyElemental,-1,99,69,50
453,BattleDwarf,-1,14,45,74
484,Genie,-1,92,14,85
499,SerpentFly,-1,7,68,60
536,Troll,-1,90,47,92
557,Boar,-1,90,59,42
657,Griffin,-1,82,49,61
665,VampireLord,-1,7,22,59
695,Wyvern,-1,81,6,100
731,HarpyHag,-1,18,35,80
763,MedusaQueen,-1,16,62,54
767,Mage,-1,48,22,89
779,DragonFly,-1,38,58,32
789,Titan,-1,4,15,49
793,Sprite,-1,53,89,13
798,CyclopsKing,-1,30,77,91
826,WyvernMonarch,-1,54,81,74
843,StoneGolem,-1,60,44,48
854,Thunderbird,-1,57,64,27
866,GreaterBasilisk,-1,25,28,54
867,Devil,-1,40,83,61
868,Titan,-1,74,11,38
895,Angel,-1,31,83,95
920,Gog,-1,85,29,98
922,Harpy,-1,18,23,36
923,Titan,-1,70,16,8
924,Zombie,-1,34,71,32
977,Behemoth,-1,76,66,29
1008,Pixie,-1,79,4,63
1027,MasterGenie,-1,57,82,46
1044,Mummy,-1,61,89,29
1074,Firebird,-1,29,96,44
1113,RedDragon,-1,35,1,54
1144,PsychicElemental,-1,3,31,82
1146,Nomad,-1,16,9,42
1149,Familiar,-1,23,21,69
1156,StoneGargoyle,-1,24,98,64
1181,Mage,-1,69,84,36
1211,Angel,-1,46,51,5
1226,WyvernMonarch,-1,40,41,28
1232,MightyGorgon,-1,12,10,47
1239,Behemoth,-1,31,73,16
1294,MinotaurKing,-1,69,11,29
1310,PowerLich,-1,83,66,75
1324,GrandElf,-1,64,70,79
1342,BlackKnight,-1,14,65,58
1397,GoldGolem,-1,60,3,82
1440,Harpy,-1,12,97,55
1443,HarpyHag,-1,97,50,10
1473,Genie,-1,92,62,95
1481,Hydra,-1,47,47,37
1500,Ogre,-1,13,30,67
1509,Enchanter,-1,10,43,47
1520,SkeletonWarrior,-1,29,51,67
1526,PitLord,-1,57,49,84
1535,InfernalTroglodyte,-1,79,1,24
1559,RedDragon,-1,97,97,89
1569,EarthElemental,-1,85,87,43
1581,Roc,-1,60,87,55
1602,HarpyHag,-1,98,31,89
1605,Gorgon,-1,100,31,99
1614,Griffin,-1,13,54,37
1637,Wight,-1,1,7,76
1657,Roc,-1,81,19,24
1666,SkeletonWarrior,-1,6,4,75
1667,Peasant,-1,3,72,99
1669,IronGolem,-1,27,23,7
1718,IronGolem,-1,51,68,1
1726,BoneDragon,-1,49,91,10
1740,Hobgoblin,-1,86,55,74
1752,Champion,-1,35,6,64
1800,SerpentFly,-1,48,4,85
1807,MightyGorgon,-1,16,28,86
1872,GrandElf,-1,35,90,1
1875,Mage,-1,8,99,76
1920,Monk,-1,41,78,14
2047,Genie,-1,32,2,11
2194,Harpy,-1,29,66,31
2195,Peasant,-1,54,51,80
2197,BlackKnight,-1,77,40,53
2225,Orc,-1,93,44,54
2230,Skeleton,-1,75,56,67
2248,Griffin,-1,54,79,6
2261,EnergyElemental,-1,32,88,51
2270,EvilEye,-1,23,29,59
2274,Sprite,-1,94,23,27
2317,SerpentFly,-1,76,73,92
2364,GreenDragon,-1,49,40,29
2436,EfreetSultan,-1,100,37,45
2467,WalkingDead,-1,1,4,63
2468,Rogue,-1,100,42,45
2470,Scorpicore,-1,31,11,66
2482,Hydra,-1,46,97,70
2551,DiamondGolem,-1,72,12,100
2575,Centaur,-1,95,67,26
2609,LizardWarrior,-1,36,70,96
2617,MightyGorgon,-1,36,15,94
2638,Crusader,-1,22,38,99
2651,DendroidSoldier,-1,9,10,47
2669,Peasant,-1,26,85,54
2705,Archangel,-1,20,64,80
2718,MightyGorgon,-1,97,61,99
2724,SerpentFly,-1,3,58,44
2771,Devil,-1,50,75,9
2785,MasterGremlin,-1,30,10,95
2830,Minotaur,-1,66,75,40
2860,Titan,-1,10,51,46
2920,Manticore,-1,51,31,75
2922,SerpentFly,-1,33,92,4
2929,Gremlin,-1,69,60,7
2939,Archer,-1,65,53,55
2950,WarUnicorn,-1,71,43,78
2953,Scorpicore,-1,82,61,37
2972,Phoenix,-1,22,4,100
2987,Zombie,-1,98,41,69
3009,MedusaQueen,-1,29,68,85
3025,DreadKnight,-1,34,98,57
3036,LizardWarrior,-1,81,95,58
3078,DreadKnight,-1,50,22,57
3083,Harpy,-1,100,13,9
3085,CentaurCaptain,-1,17,26,47
3113,Troll,-1,17,56,85
3115,MightyGorgon,-1,50,24,39
3116,AirElemental,-1,95,36,76
3164,BlackKnight,-1,59,46,76
3182,Magog,-1,64,58,90
3195,Sharpshooter,-1,16,25,94
3202,Gorgon,-1,46,45,35
3223,Manticore,-1,95,71,12
3229,SkeletonWarrior,-1,32,96,9
3240,Imp,-1,63,71,62
3250,CentaurCaptain,-1,47,76,16
3305,PitFiend,-1,70,13,34
3327,AzureDragon,-1,32,35,57
3328,Dwarf,-1,30,61,88
3407,Hydra,-1,40,25,83
3461,EnergyElemental,-1,93,5,67
3505,Titan,-1,100,25,63
3577,EfreetSultan,-1,61,76,35
3591,Lizardman,-1,48,17,47
3594,Lich,-1,62,48,56
3603,WolfRaider,-1,94,49,2
3617,GhostDragon,-1,70,28,87
