Воин_ИД,Название,Длительность
19,Vera Verto,3
19,Sectumsempra,5
21,Unlocking Charm,2
55,Cistem Aperio,5
80,Impediment Jinx,2
80,Locking Spell,4
150,Cistem Aperio,0
171,Stunning Spell,4
171,Wand-Extinguishing Charm,4
189,Leg-Locker Curse,3
189,Unlocking Charm,1
214,Portus,1
240,Killing Curse,5
240,Unlocking Charm,2
248,Incarcerous Spell,4
283,Brackium Emendo,0
283,Muggle-Repelling Charm,2
285,Oppugno Jinx,0
285,Wand-Extinguishing Charm,0
285,Memory Charm,2
292,Freezing Charm,3
292,Protego totalum,0
334,Lumos Maxima,1
338,Imperius Curse,1
338,Revelio Charm,3
338,Reverse Spell,5
358,Water-Making Spell,4
358,Mending Charm,0
360,Repello Inimicum,0
360,Muggle-Repelling Charm,0
360,Spider repelling spell,4
439,Impediment Jinx,3
449,Severing Charm,0
449,Wand-Lighting Charm,0
449,Snake-Vanishing Spell,1
567,Levicorpus,0
567,Lumos Maxima,5
567,Freezing Charm,2
618,General Counter-Spell,2
644,Patronus Charm,5
644,Lumos Solem Spell,0
644,Stunning Spell,5
679,Snake Summons Spell,1
679,Engorgement Charm,1
681,Exploding Charm,1
684,Episkey,3
688,Exploding Charm,0
688,Lumos Solem Spell,2
698,Imperius Curse,2
698,Human Presence Revealing Spell,0
720,Portus,5
720,Muffliato Charm,5
765,Lumos Maxima,5
824,Slowing Charm,1
824,Protego totalum,5
824,Launch an object up into the air,5
848,Portus,1
848,Mending Charm,5
859,Revulsion Jinx,2
859,Levitation Charm,3
859,Water-Making Spell,0
862,Revelio Charm,3
862,Leg-Locker Curse,3
862,Exploding Charm,3
906,Killing Curse,0
987,Shrinking Charm,3
987,Blasting Curse,3
1004,Protego Maxima,5
1004,Lumos Maxima,5
1004,Patronus Charm,5
1008,Impediment Jinx,1
1008,Engorgement Charm,0
1032,Levitation Charm,1
1032,Revelio Charm,3
1034,Blasting Curse,5
1034,Launch an object up into the air,4
1034,Protego totalum,1
1052,Episkey,2
1061,Snake Summons Spell,3
1061,Cruciatus Curse,3
1061,Impediment Jinx,5
1081,Impediment Jinx,4
1081,Unlocking Charm,4
1082,Full Body-Bind Curse,2
1095,Human Presence Revealing Spell,1
1095,Portus,4
1095,Engorgement Charm,2
1110,Lumos Solem Spell,4
1110,Repello Inimicum,5
1203,Snake Summons Spell,4
1203,Muffliato Charm,0
1203,Protego Maxima,2
1296,Portus,4
1296,Vera Verto,3
1313,Tickling Charm,1
1313,Blasting Curse,0
1313,Shield Charm,4
1351,Summoning Charm,4
1351,Spider repelling spell,3
1351,Severing Charm,4
1439,Wand-Extinguishing Charm,0
1450,Salvio hexia,4
1450,Protego totalum,2
1450,Leg-Locker Curse,3
1649,Water-Making Spell,3
1649,Peskipiksi Pesternomi,4
1659,Memory Charm,2
1659,Cruciatus Curse,3
1659,Protego totalum,5
1677,Revelio Charm,1
1677,Slowing Charm,5
1724,Impediment Jinx,3
1724,Protego totalum,2
1747,Revelio Charm,2
1749,Reverse Spell,2
1749,Sectumsempra,1
1749,Levitation Charm,5
1830,Unlocking Charm,3
1830,Expulso Curse,0
1830,Protego Maxima,5
1865,Cistem Aperio,0
1869,Blasting Curse,4
1872,Dissendium,5
1872,Salvio hexia,1
1872,Blasting Curse,0
1993,Muffliato Charm,5
2052,Brackium Emendo,0
2052,Protego totalum,1
2082,Disarming Charm,2
2086,Full Body-Bind Curse,2
2088,Human Presence Revealing Spell,2
2088,Launch an object up into the air,4
2111,Revulsion Jinx,5
2111,Launch an object up into the air,4
2115,Freezing Charm,0
2115,Muffliato Charm,4
2115,Tickling Charm,3
2131,Patronus Charm,3
2131,Vera Verto,2
2187,Cruciatus Curse,1
