ЧЛВК_ИД,ТИП_ВОИНА,ПРЕДВОДИТЕЛЬ_ИД,ЗДОРОВЬЕ,БРОНЯ,ОРУЖИЕ
7,Ogre,None,12,99,90
21,InfernalTroglodyte,None,38,16,80
39,StormElemental,None,53,7,92
44,CentaurCaptain,None,62,30,11
53,CrystalDragon,None,70,24,17
64,Archangel,None,97,78,76
77,CyclopsKing,None,54,28,76
91,Gnoll,None,15,19,34
96,GhostDragon,None,71,79,29
112,Hydra,None,39,98,70
150,StormElemental,None,93,25,83
196,ArchDevil,None,44,17,8
208,PitLord,None,27,40,65
220,Angel,None,3,68,72
224,DreadKnight,None,45,47,17
239,Zealot,None,1,49,26
246,Magog,None,82,12,89
253,MasterGenie,None,86,9,36
255,Sprite,None,9,35,83
265,Harpy,None,6,63,17
275,WolfRider,None,1,1,17
282,AzureDragon,None,49,68,66
305,Halfling,None,27,62,72
310,WolfRaider,None,56,96,65
313,Efreet,None,2,68,1
324,Cavalier,None,26,31,35
331,Halberdier,None,83,70,21
345,Troll,None,99,48,60
348,Dwarf,None,98,56,61
412,Swordsman,None,2,19,29
426,AzureDragon,None,83,95,60
436,Imp,None,75,4,66
443,Devil,None,56,2,9
450,GrandElf,None,44,67,60
467,MasterGenie,None,93,46,16
486,Firebird,None,5,77,73
516,Pikeman,None,67,23,98
529,Orc,None,50,64,84
533,DreadKnight,None,21,37,53
539,WolfRaider,None,1,80,53
560,WalkingDead,None,44,52,90
566,SilverPegasus,None,77,100,51
572,Phoenix,None,9,42,59
584,SerpentFly,None,34,64,56
588,Thunderbird,None,48,36,9
594,Gnoll,None,41,1,33
596,OgreMage,None,24,66,4
616,Thunderbird,None,21,78,89
619,MinotaurKing,None,42,33,41
620,WoodElf,None,55,40,33
622,BlackDragon,None,16,70,71
635,Troglodyte,None,32,6,99
638,WoodElf,None,82,46,91
653,Centaur,None,9,39,79
675,InfernalTroglodyte,None,2,59,73
685,Griffin,None,68,63,58
700,Genie,None,90,70,82
711,SkeletonWarrior,None,85,79,3
724,Peasant,None,1,81,92
750,Devil,None,49,20,33
759,Manticore,None,27,85,97
764,PowerLich,None,91,64,52
766,Naga,None,39,44,2
774,StormElemental,None,94,89,7
801,DiamondGolem,None,94,33,6
805,Titan,None,10,12,41
823,Efreet,None,67,92,25
847,Crusader,None,90,95,23
857,Firebird,None,1,87,62
863,Hobgoblin,None,39,92,34
870,Efreet,None,10,40,97
880,RedDragon,None,16,37,89
890,OrcChieftain,None,17,62,42
892,ChaosHydra,None,27,24,93
899,Magog,None,16,34,45
900,Archangel,None,53,100,40
902,GoldDragon,None,98,62,39
906,RedDragon,None,9,62,2
916,Scorpicore,None,97,95,77
946,Archangel,None,96,23,53
992,Zealot,None,49,45,57
1008,Ogre,None,74,16,90
1017,RustDragon,None,66,44,94
1039,Goblin,None,50,91,47
1060,Halfling,None,51,38,63
1062,CrystalDragon,None,31,3,13
1069,GoldDragon,None,71,74,33
1080,Griffin,None,18,52,95
1086,Demon,None,43,4,17
1102,Giant,None,59,30,90
1105,Familiar,None,34,60,42
1116,Efreet,None,29,42,43
1122,Peasant,None,48,83,100
1142,HellHound,None,68,33,92
1143,LizardWarrior,None,87,4,72
1153,Cerberus,None,85,5,73
1156,BlackDragon,None,72,71,24
1163,Devil,None,16,17,77
1168,CyclopsKing,None,81,3,84
1176,GhostDragon,None,8,19,56
1182,FaerieDragon,None,9,85,8
1190,FireElemental,None,10,73,69
1193,AncientBehemoth,None,38,97,28
1205,GhostDragon,None,32,93,43
1207,ArchMage,None,62,30,3
1219,Devil,None,8,28,71
1240,StoneGolem,None,10,60,27
1251,BattleDwarf,None,22,77,81
1252,Zealot,None,52,44,57
1268,Zealot,None,58,10,86
1269,Beholder,None,42,34,28
1270,GrandElf,None,24,69,58
1278,PitFiend,None,78,18,39
1285,SkeletonWarrior,None,78,9,54
1288,Devil,None,13,99,22
1297,Archer,None,84,71,62
1305,AirElemental,None,52,1,27
1331,Wight,None,56,16,15
1334,Mage,None,5,4,36
1348,Firebird,None,17,98,92
1353,AzureDragon,None,48,22,44
1373,MagmaElemental,None,51,48,76
1379,Gog,None,93,22,33
1386,MagmaElemental,None,57,34,25
1405,VampireLord,None,71,100,93
1414,Zealot,None,57,12,20
1425,EnergyElemental,None,14,32,63
1426,BlackKnight,None,82,88,46
1430,PitLord,None,18,58,64
1432,Scorpicore,None,98,76,61
1433,Wyvern,None,13,67,75
1444,EfreetSultan,None,41,62,27
1452,Wight,None,48,27,32
1473,Hobgoblin,None,54,99,90
1490,OrcChieftain,None,45,35,60
1499,AirElemental,None,93,38,100
1500,BoneDragon,None,78,9,88
1507,Sprite,None,46,54,59
1508,Phoenix,None,95,35,6
1514,HellHound,None,83,59,90
1537,AirElemental,None,87,12,47
1560,Giant,None,88,36,96
1569,Devil,None,50,48,67
1591,Mage,None,2,39,87
1603,PowerLich,None,61,54,47
1610,FaerieDragon,None,99,3,31
1619,Lich,None,35,34,6
1634,Goblin,None,25,94,12
1637,Thunderbird,None,51,11,20
1639,GreaterBasilisk,None,86,99,80
1654,Scorpicore,None,97,95,98
1656,OgreMage,None,88,61,91
1657,Boar,None,30,30,25
1659,GhostDragon,None,43,42,25
1663,Peasant,None,68,92,21
1669,Devil,None,70,3,89
1718,Crusader,None,80,34,17
1744,Firebird,None,94,37,7
1766,SerpentFly,None,66,43,34
1799,Gorgon,None,71,35,75
1800,VampireLord,None,34,84,88
1822,Crusader,None,55,27,88
1843,Basilisk,None,46,90,26
1854,Marksman,None,85,94,91
1868,IronGolem,None,71,96,22
1871,WyvernMonarch,None,8,97,90
1872,StormElemental,None,95,18,83
1885,InfernalTroglodyte,None,10,21,75
1888,DragonFly,None,46,73,16
1915,Lich,None,34,88,15
1928,Giant,None,10,51,74
1929,Giant,None,62,63,71
1942,AirElemental,None,100,71,19
1952,PsychicElemental,None,91,91,36
1954,Roc,None,21,64,92
1980,Cyclops,None,8,82,87
1981,Lizardman,None,58,78,8
1987,Boar,None,48,3,44
1989,LizardWarrior,None,20,12,67
1992,HarpyHag,None,28,3,83
2003,Genie,None,33,8,42
2009,MagicElemental,None,10,87,25
2011,WalkingDead,None,82,7,56
2015,WyvernMonarch,None,78,70,72
2018,HornedDemon,None,71,31,26
2031,Gorgon,None,34,61,94
2036,Crusader,None,48,73,76
2042,MasterGremlin,None,40,71,2
2058,SilverPegasus,None,26,58,34
2076,Sprite,None,12,76,73
2077,BoneDragon,None,32,2,71
