ВОИН_ИД,ЗАКЛИНАНИЕ_НАЗВАНИЕ
39,Peskipiksi Pesternomi
39,Reverse Spell
44,Sectumsempra
44,Tickling Charm
64,Muffliato Charm
77,Impediment Jinx
77,Leg-Locker Curse
77,Vera Verto
91,Imperius Curse
91,Oppugno Jinx
91,Piertotum Locomotor
150,Snake-Vanishing Spell
150,Locomotion Charm
196,Episkey
196,Muggle-Repelling Charm
208,Patronus Charm
208,Slowing Charm
208,Brackium Emendo
220,Lumos Maxima
220,Full Body-Bind Curse
220,Shrinking Charm
239,Full Body-Bind Curse
239,Stunning Spell
246,Lumos Solem Spell
246,Stunning Spell
246,Patronus Charm
253,Stunning Spell
253,Boggart-Banishing Spell
253,Levicorpus
255,Disarming Charm
255,Severing Charm
255,Summoning Charm
265,Freezing Charm
265,Boggart-Banishing Spell
265,Killing Curse
275,Leg-Locker Curse
305,Human Presence Revealing Spell
310,Wand-Extinguishing Charm
313,Exploding Charm
324,Memory Charm
331,Boggart-Banishing Spell
331,Killing Curse
331,Muffliato Charm
345,Summoning Charm
345,Cistem Aperio
345,Dissendium
412,Summoning Charm
412,Repello Inimicum
412,Lumos Maxima
436,Locomotion Charm
436,Portus
436,Killing Curse
443,Lumos Maxima
450,General Counter-Spell
450,Protego totalum
467,Episkey
467,Salvio hexia
467,Lumos Solem Spell
486,Levicorpus
516,General Counter-Spell
516,Brackium Emendo
529,Summoning Charm
539,Impediment Jinx
560,Unlocking Charm
560,Boggart-Banishing Spell
566,Memory Charm
566,Disarming Charm
566,Full Body-Bind Curse
584,Snake-Vanishing Spell
584,Fire-Making Spell
588,Unlocking Charm
588,Snake-Vanishing Spell
596,Expulso Curse
596,Sectumsempra
596,Cistem Aperio
620,Oppugno Jinx
622,Expulso Curse
622,Snake Summons Spell
635,Launch an object up into the air
638,Shield Charm
638,Expulso Curse
638,Spider repelling spell
675,Launch an object up into the air
675,Boggart-Banishing Spell
675,Lumos Maxima
700,Cruciatus Curse
711,Exploding Charm
750,Spider repelling spell
750,Dissendium
750,Exploding Charm
759,Shield Charm
764,Lumos Solem Spell
764,Oppugno Jinx
764,Locking Spell
801,Lumos Solem Spell
801,Wand-Extinguishing Charm
870,Snake-Vanishing Spell
870,Levicorpus
880,Impediment Jinx
890,Wand-Lighting Charm
890,Blasting Curse
892,Oppugno Jinx
892,Vera Verto
899,Locomotion Charm
900,Disarming Charm
902,Salvio hexia
946,Wand-Extinguishing Charm
992,Peskipiksi Pesternomi
1008,Peskipiksi Pesternomi
1008,Severing Charm
1008,Locomotion Charm
1060,Imperius Curse
1060,Cruciatus Curse
1062,Exploding Charm
1069,Reverse Spell
1069,Imperius Curse
1080,Disarming Charm
1080,Levitation Charm
1080,Protego Maxima
1086,Mending Charm
1086,Freezing Charm
1102,Lumos Maxima
1102,Killing Curse
1105,Wand-Extinguishing Charm
1122,Salvio hexia
1122,Stunning Spell
1143,Episkey
1156,Launch an object up into the air
1156,Severing Charm
1168,Cistem Aperio
1168,Repello Inimicum
1176,Reverse Spell
1176,Salvio hexia
1182,Reverse Spell
1182,Cistem Aperio
1190,Shrinking Charm
1193,Episkey
1207,Expulso Curse
1207,Revelio Charm
1207,Leg-Locker Curse
1240,Imperius Curse
1240,Locomotion Charm
1251,Salvio hexia
